lat,lon,accuracy,source,locality,address,updated
18.464717,99.05675,5,GPS,Mueang Lamphun District,"Mueang Lamphun District, Lamphun 51000",2026-02-27 08:04:17
18.456181,99.057669,14,GPS,Mueang Lamphun District,"Mueang Lamphun District, Lamphun 51000",2026-02-27 08:09:47
18.456107,99.087873,15,GPS,Mae Tha District,"Mae Tha District, Lamphun 51140",2026-02-27 08:14:32
18.456107,99.087873,15,GPS,Mae Tha District,"Mae Tha District, Lamphun 51140",2026-02-27 08:14:32
18.461019,99.137354,14,GPS,Mae Tha District,"Mae Tha District, Lamphun 51140",2026-02-27 08:18:36
18.392756,99.265662,51,GPS,Hang Chat District,"Hang Chat District, Lampang 52190",2026-02-27 09:01:45
18.364852,99.287066,23,GPS,Hang Chat District,"Hang Chat District, Lampang 52190",2026-02-27 09:07:09
18.37956,99.305078,9,GPS,Hang Chat District,"Hang Chat District, Lampang 52190",2026-02-27 09:11:23
18.348319,99.35155,328,unknown,Hang Chat District,"O Bo Cho. Lampang 3033 Road, Hang Chat, Hang Chat District, Lampang 52190",2026-02-27 09:17:35
18.312283,99.413179,6,GPS,Mueang Lampang District,"Mueang Lampang District, Lampang 52100",2026-02-27 09:22:15
18.281088,99.469882,8,GPS,Mueang Lampang District,"107 Rotfai Road, Sop Tui, Mueang Lampang District, Lampang 52100",2026-02-27 09:27:25
18.275846,99.47753,5,GPS,Mueang Lampang District,"Mueang Lampang District, Lampang 52100",2026-02-27 09:32:24
18.223882,99.515192,10,GPS,Mueang Lampang District,"Mueang Lampang District, Lampang 52000",2026-02-27 09:37:48
18.202323,99.560287,494,unknown,Mae Tha District,"Mae Tha District, Lampang 52150",2026-02-27 09:43:23
18.240787,99.596923,5,GPS,Mueang Lampang District,"Mueang Lampang District, Lampang 52000",2026-02-27 09:48:13
18.256232,99.655373,14,GPS,Mae Mo District,"84 Moo 5, Mae Mo, Mae Mo District, Lampang 52220",2026-02-27 09:53:39
18.264667,99.709782,5,GPS,Mae Mo District,"62 Soi Pracha Rat, Mae Mo, Mae Mo District, Lampang 52220",2026-02-27 09:58:27
18.264667,99.709782,5,GPS,Mae Mo District,"62 Soi Pracha Rat, Mae Mo, Mae Mo District, Lampang 52220",2026-02-27 09:58:27
18.277847,99.801018,8,GPS,Mae Mo District,"Mae Mo District, Lampang 52220",2026-02-27 10:06:25
18.297822,99.86354,9,GPS,Mae Mo District,"Mae Mo District, Lampang 52220",2026-02-27 10:14:25
18.297822,99.86354,9,GPS,Mae Mo District,"Mae Mo District, Lampang 52220",2026-02-27 10:14:25
18.297822,99.86354,9,GPS,Mae Mo District,"Mae Mo District, Lampang 52220",2026-02-27 10:14:25
18.297822,99.86354,9,GPS,Mae Mo District,"Mae Mo District, Lampang 52220",2026-02-27 10:14:25
18.211666,99.871989,5,GPS,Long District,"76 Rural Highway 4003, Ban Pin, Long District, Phrae 54150",2026-02-27 10:29:32
18.194947,99.870168,26,GPS,Long District,"Long District, Phrae 54150",2026-02-27 10:32:30
18.194947,99.870168,26,GPS,Long District,"Long District, Phrae 54150",2026-02-27 10:32:30
